A,B,C,D,E,F,G,H,I,J,K
77,85,100,0,100,0,97,7619,1,0,0
83,96,100,0,100,0,97,6344,1,0,0
83,92,100,0,100,0,89,22805,1,0,0
84,96,100,0,100,0,66,68053,1,0,0
82,84,100,0,100,0,100,0,1,0,0
82,94,100,0,100,0,95,11525,1,0,0
83,98,100,0,100,0,98,5342,1,0,0
82,90,100,0,100,0,71,58116,1,0,0
82,89,100,0,100,0,94,12861,1,0,0
74,84,100,0,100,0,70,60890,1,0,0
81,90,100,0,100,0,97,7524,1,0,0
73,84,100,0,100,0,100,0,1,0,0
78,91,100,0,100,0,100,0,1,0,0
82,91,100,0,100,0,93,15361,1,0,0
79,88,100,0,100,0,50,100054,1,0,0
75,90,100,0,100,0,42,117319,1,0,0
81,90,100,0,100,0,83,34204,1,0,0
81,93,100,0,98,2,92,16927,1,8,8
75,97,100,0,100,0,96,9484,1,0,0
83,88,100,0,100,0,99,3541,1,0,0
83,90,100,0,100,0,100,0,1,0,0
75,96,100,0,100,0,100,0,1,0,0
82,90,100,0,100,0,100,0,1,0,0
79,90,100,0,100,0,92,16119,1,0,0
82,90,100,0,100,0,100,0,1,0,0
81,90,100,0,100,0,100,0,1,0,0
83,90,100,0,100,0,97,7708,1,0,0
83,98,100,0,100,0,88,25163,1,0,0
81,86,100,0,100,0,83,34872,1,0,0
79,90,100,0,100,0,90,20991,1,0,0
79,94,100,0,100,0,72,57205,1,0,0
83,97,100,0,100,0,77,46656,1,0,0
81,92,100,0,100,0,92,17356,1,0,0
81,94,100,0,100,0,98,5267,1,0,0
83,95,100,0,100,0,98,4483,1,0,0
78,92,100,0,100,0,97,6008,1,0,0
79,96,100,0,100,0,61,78152,1,0,0
83,95,100,0,100,0,90,20374,1,0,0
79,94,100,0,100,0,85,31103,1,0,0
80,94,100,0,100,0,97,6155,1,0,0
76,96,100,0,100,0,96,8468,1,0,0
82,91,100,0,100,0,97,7581,1,0,0
80,90,100,0,100,0,97,6976,1,0,0
81,93,100,0,100,0,91,19497,1,0,0
83,88,100,0,100,0,100,0,1,0,0
82,91,100,0,100,0,100,0,1,0,0
